Holeid,depth,dip,azimuth,Wolfpass GM
synth_001,0.0,52.075185,172.646562,Colluvium
synth_002,0.0,48.493099,225.47002,Recent
synth_003,0.0,64.94365,216.239782,Recent
synth_004,0.0,76.923558,293.598184,Colluvium
synth_005,0.0,53.281276,165.27637,Colluvium
synth_006,0.0,66.375381,132.989445,Recent
synth_007,0.0,79.647714,97.620315,Recent
synth_008,0.0,68.119751,250.542394,Colluvium
synth_009,0.0,61.525144,256.661819,Colluvium
synth_010,0.0,79.28049,255.778429,Recent
synth_008,58.4,68.318791,249.809428,Colluvium
synth_004,65.3,77.119439,294.157321,Colluvium
synth_002,54.6,48.572647,224.068748,Recent
synth_003,71.8,64.656923,217.536301,Recent
synth_010,47.3,79.248771,254.67784,Recent
synth_001,64.1,51.859068,173.090845,Colluvium
synth_006,66.0,66.812027,133.902418,Recent
synth_005,41.0,53.609692,166.292136,Colluvium
synth_007,84.8,79.548446,98.022072,Recent
synth_009,93.0,61.19942,256.90977,Colluvium
synth_008,116.7,68.517831,249.076463,Colluvium
synth_005,81.9,53.938109,167.307903,Volcaniclastic
synth_010,94.6,79.217052,253.577251,Weathered Andesite
synth_004,130.7,77.31532,294.716459,Saprolite
synth_006,131.9,67.248673,134.81539,Weathered Andesite
synth_001,128.2,51.642952,173.535128,Volcaniclastic
synth_003,143.7,64.370195,218.832821,Saprolite
synth_002,109.3,48.652194,222.667475,Weathered Andesite
synth_007,169.6,79.449178,98.423828,Saprolite
synth_009,185.9,60.873696,257.157722,Volcaniclastic
synth_008,175.1,68.716871,248.343497,Saprolite
synth_004,196.0,77.209151,295.62406,Saprolite
synth_001,192.2,51.336777,174.137959,Volcaniclastic
synth_010,141.9,79.539277,253.900419,Weathered Andesite
synth_003,215.5,64.254943,218.57138,Saprolite
synth_002,163.9,48.725837,223.837906,Weathered Andesite
synth_005,122.9,53.776229,166.658975,Volcaniclastic
synth_006,197.9,67.141199,133.761014,Weathered Andesite
synth_007,254.4,79.378832,98.818985,Saprolite
synth_008,262.6,68.378815,248.765035,Saprolite
synth_009,278.9,60.850373,257.073926,Volcaniclastic
synth_005,163.8,53.614349,166.010048,Dacite
synth_001,256.3,51.030603,174.740791,Dacite
synth_010,189.2,79.861503,254.223587,Andesite
synth_004,261.4,77.102982,296.531662,Andesite
synth_002,218.5,48.799481,225.008337,Andesite
